fold,acc,auroc,mode,N,layer
0,0.5583333333333333,0.6111805555555555,ai_vs_human,32,0
1,0.6458333333333334,0.6833333333333333,ai_vs_human,32,0
2,0.6125,0.6589583333333333,ai_vs_human,32,0
3,0.6291666666666667,0.6763888888888889,ai_vs_human,32,0
4,0.5708333333333333,0.6078125,ai_vs_human,32,0
0,0.825,0.909097222222222,ai_vs_human,32,2
1,0.8583333333333333,0.9367361111111112,ai_vs_human,32,2
2,0.85,0.9294444444444444,ai_vs_human,32,2
3,0.8041666666666667,0.8865972222222223,ai_vs_human,32,2
4,0.8333333333333334,0.9101388888888888,ai_vs_human,32,2
0,0.8541666666666666,0.9463888888888888,ai_vs_human,32,4
1,0.8791666666666667,0.925,ai_vs_human,32,4
2,0.8916666666666667,0.9334027777777778,ai_vs_human,32,4
3,0.8541666666666666,0.9224305555555556,ai_vs_human,32,4
4,0.8333333333333334,0.9066666666666668,ai_vs_human,32,4
0,0.8958333333333334,0.9486805555555556,ai_vs_human,32,6
1,0.8833333333333333,0.9504166666666668,ai_vs_human,32,6
2,0.85,0.9329166666666666,ai_vs_human,32,6
3,0.8666666666666667,0.9484027777777778,ai_vs_human,32,6
4,0.8458333333333333,0.9300694444444444,ai_vs_human,32,6
0,0.8958333333333334,0.955,ai_vs_human,32,8
1,0.8666666666666667,0.9452777777777778,ai_vs_human,32,8
2,0.9125,0.9483333333333334,ai_vs_human,32,8
3,0.8708333333333333,0.9466666666666668,ai_vs_human,32,8
4,0.8791666666666667,0.944236111111111,ai_vs_human,32,8
0,0.8916666666666667,0.9589583333333334,ai_vs_human,32,10
1,0.8958333333333334,0.9472916666666666,ai_vs_human,32,10
2,0.875,0.9602777777777778,ai_vs_human,32,10
3,0.8666666666666667,0.9445138888888888,ai_vs_human,32,10
4,0.8833333333333333,0.9402083333333332,ai_vs_human,32,10
0,0.9291666666666668,0.980763888888889,ai_vs_human,32,12
1,0.9208333333333332,0.966875,ai_vs_human,32,12
2,0.9041666666666668,0.9680555555555554,ai_vs_human,32,12
3,0.9416666666666668,0.9878472222222222,ai_vs_human,32,12
4,0.925,0.9721527777777778,ai_vs_human,32,12
0,0.95,0.9878472222222222,ai_vs_human,32,14
1,0.9041666666666668,0.9649305555555556,ai_vs_human,32,14
2,0.9125,0.9744444444444444,ai_vs_human,32,14
3,0.95,0.9861805555555556,ai_vs_human,32,14
4,0.9125,0.964722222222222,ai_vs_human,32,14
0,0.9583333333333334,0.9959027777777778,ai_vs_human,32,16
1,0.9458333333333332,0.9829166666666668,ai_vs_human,32,16
2,0.9458333333333332,0.9808333333333332,ai_vs_human,32,16
3,0.9666666666666668,0.9911805555555556,ai_vs_human,32,16
4,0.9416666666666668,0.9861805555555556,ai_vs_human,32,16
0,0.9833333333333332,0.9992361111111112,ai_vs_human,32,18
1,0.9708333333333332,0.9872222222222222,ai_vs_human,32,18
2,0.9708333333333332,0.9948611111111112,ai_vs_human,32,18
3,0.95,0.9963194444444444,ai_vs_human,32,18
4,0.9833333333333332,0.9971527777777778,ai_vs_human,32,18
0,0.9625,0.9939583333333334,ai_vs_human,32,20
1,0.9625,0.9813194444444444,ai_vs_human,32,20
2,0.9416666666666668,0.9847916666666668,ai_vs_human,32,20
3,0.9375,0.9895138888888888,ai_vs_human,32,20
4,0.9541666666666668,0.98875,ai_vs_human,32,20
0,0.9666666666666668,0.9973611111111113,ai_vs_human,32,22
1,0.9583333333333334,0.9850694444444444,ai_vs_human,32,22
2,0.9375,0.9764583333333334,ai_vs_human,32,22
3,0.9166666666666666,0.9731944444444444,ai_vs_human,32,22
4,0.9291666666666668,0.9850694444444446,ai_vs_human,32,22
0,0.9333333333333332,0.9863888888888888,ai_vs_human,32,24
1,0.9541666666666668,0.981875,ai_vs_human,32,24
2,0.9125,0.9677777777777776,ai_vs_human,32,24
3,0.9125,0.9675694444444444,ai_vs_human,32,24
4,0.9291666666666668,0.975347222222222,ai_vs_human,32,24
0,0.975,0.9899305555555556,ai_vs_human,32,26
1,0.9458333333333332,0.9858333333333332,ai_vs_human,32,26
2,0.9416666666666668,0.9821527777777778,ai_vs_human,32,26
3,0.9083333333333332,0.980972222222222,ai_vs_human,32,26
4,0.9333333333333332,0.9861111111111112,ai_vs_human,32,26
0,0.9625,0.9865277777777778,ai_vs_human,32,28
1,0.9625,0.9825,ai_vs_human,32,28
2,0.95,0.9826388888888888,ai_vs_human,32,28
3,0.9208333333333332,0.9791666666666666,ai_vs_human,32,28
4,0.9458333333333332,0.9849305555555554,ai_vs_human,32,28
0,0.5625,0.5957986111111111,ai_vs_human,64,0
1,0.6083333333333333,0.6244444444444445,ai_vs_human,64,0
2,0.6166666666666667,0.6488541666666666,ai_vs_human,64,0
3,0.575,0.5835416666666666,ai_vs_human,64,0
4,0.575,0.6173263888888888,ai_vs_human,64,0
0,0.8416666666666667,0.8989583333333333,ai_vs_human,64,2
1,0.8125,0.9048611111111112,ai_vs_human,64,2
2,0.8416666666666667,0.9277083333333334,ai_vs_human,64,2
3,0.8166666666666667,0.9039583333333332,ai_vs_human,64,2
4,0.8125,0.8901388888888889,ai_vs_human,64,2
0,0.8875,0.9447916666666668,ai_vs_human,64,4
1,0.8625,0.9372916666666666,ai_vs_human,64,4
2,0.8958333333333334,0.9627083333333334,ai_vs_human,64,4
3,0.8333333333333334,0.9290972222222222,ai_vs_human,64,4
4,0.8875,0.9434722222222222,ai_vs_human,64,4
0,0.8791666666666667,0.9466666666666668,ai_vs_human,64,6
1,0.8666666666666667,0.9324305555555557,ai_vs_human,64,6
